,State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,Hospital Beds
2832,Virginia,Brunswick,0,16435,4495,27.4,,1159.0
2833,Virginia,Buchanan,12,22611,6055,26.8,505.0,1646.0
2834,Virginia,Buckingham,0,17048,4020,23.6,,
2835,Virginia,Campbell,0,55158,13887,25.2,,1493.0
2836,Virginia,Caroline,0,29889,6464,21.6,,
2837,Virginia,Carroll,0,29767,8816,29.6,,1218.0
2838,Virginia,Charles City,0,7022,2156,30.7,,
2839,Virginia,Charlotte,0,12176,3671,30.1,,823.0
2840,Virginia,Chesterfield,106,335594,65652,19.6,619.0,525.0
2841,Virginia,Clarke,0,14331,3666,25.6,,709.0
2842,Virginia,Craig,0,5131,1476,28.8,,51.0
2843,Virginia,Culpeper,6,49795,10197,20.5,1700.0,70.0
2844,Virginia,Cumberland,0,9797,2590,26.4,,6315.0
2845,Virginia,Dickenson,0,15181,4171,27.5,,25.0
2846,Virginia,Dinwiddie,0,28033,6361,22.7,,999.0
2847,Virginia,Essex,7,11083,3102,28.0,443.0,9993.0
2848,Virginia,Fairfax,178,1142004,205097,18.0,1152.0,2707.0
2849,Virginia,Fauquier,8,68406,15267,22.3,1908.0,97.0
2850,Virginia,Floyd,0,15594,4593,29.5,,1508.0
2851,Virginia,Fluvanna,0,26109,6641,25.4,,
2852,Virginia,Franklin,4,56277,16636,29.6,4159.0,12572.0
2853,Virginia,Frederick,0,83784,17641,21.1,,308.0
2854,Virginia,Giles,0,16867,4744,28.1,,145.0
2855,Virginia,Gloucester,7,37035,9239,24.9,1320.0,676.0
2856,Virginia,Goochland,0,22148,6309,28.5,,
2857,Virginia,Grayson,0,15708,4703,29.9,,677.0
2858,Virginia,Greene,0,19213,4356,22.7,,3460.0
2859,Virginia,Greensville,0,11606,2403,20.7,,
2860,Virginia,Halifax,12,35030,10489,29.9,874.0,498.0
2861,Virginia,Hanover,24,103218,23448,22.7,977.0,265.0
2862,Virginia,Henrico,53,324073,65204,20.1,1230.0,1031.0
2863,Virginia,Henry,0,51956,15335,29.5,,863.0
2864,Virginia,Highland,0,2213,1144,51.7,,70.0
2865,Virginia,Isle of Wight,0,36090,9254,25.6,,
2866,Virginia,James City,26,73028,22611,31.0,870.0,1356.0
2867,Virginia,King and Queen,0,7052,2107,29.9,,
2868,Virginia,King George,0,25564,4530,17.7,,
